352.00,361.52,46.00,52.63,206.87,35.00,40.57,41.00,47.43,43.93,1.86
376.00,363.67,60.00,53.68,208.47,46.00,41.35,50.00,47.70,44.46,1.89
364.00,363.73,50.00,53.35,208.34,39.00,41.14,44.00,47.36,44.18,1.89
364.00,363.76,53.00,53.32,208.34,39.00,40.94,43.00,46.94,43.88,1.89
355.00,362.03,50.00,52.81,207.21,37.00,40.32,44.00,46.14,43.16,1.89
355.00,362.55,50.00,52.90,207.52,39.00,40.50,44.00,46.35,43.36,1.89
359.00,361.91,54.00,52.57,207.03,40.00,40.23,48.00,46.47,43.29,1.87
368.00,362.46,56.00,52.89,207.47,44.00,40.58,55.00,47.26,43.86,1.87
393.00,365.31,62.00,53.74,209.32,51.00,41.56,60.00,48.47,44.95,1.89
355.00,364.65,48.00,53.17,208.70,39.00,41.56,48.00,48.51,44.97,1.87
384.00,367.00,63.00,54.32,210.45,50.00,42.90,53.00,49.32,46.05,1.89
368.00,368.61,54.00,54.72,211.46,41.00,43.02,46.00,49.43,46.16,1.90
355.00,367.36,54.00,54.66,210.80,42.00,42.92,47.00,49.20,46.00,1.89
353.00,366.01,48.00,54.04,209.82,41.00,42.75,47.00,49.00,45.81,1.89
353.00,365.80,51.00,54.26,209.82,40.00,43.03,50.00,50.03,46.46,1.87
359.00,364.03,53.00,53.59,208.60,39.00,42.30,49.00,49.86,46.01,1.86
380.00,364.70,59.00,54.30,209.29,55.00,43.36,52.00,49.89,46.56,1.86
360.00,364.29,56.00,54.46,209.17,41.00,43.16,49.00,49.81,46.42,1.86
363.00,364.16,57.00,54.71,209.22,44.00,43.24,50.00,49.83,46.47,1.86
355.00,362.51,55.00,54.34,208.22,42.00,42.93,48.00,49.50,46.15,1.86
358.00,363.58,53.00,55.22,209.19,40.00,43.36,49.00,50.10,46.66,1.86
354.00,361.77,55.00,55.19,208.27,40.00,42.84,48.00,49.81,46.26,1.86
367.00,362.23,60.00,55.63,208.72,44.00,42.94,55.00,50.29,46.55,1.86
359.00,361.93,59.00,55.96,208.73,46.00,43.22,56.00,50.83,46.96,1.85
355.00,360.68,55.00,55.80,208.03,42.00,43.18,48.00,50.43,46.74,1.85
372.00,360.96,63.00,56.57,208.55,51.00,43.81,58.00,51.00,47.34,1.85
350.00,360.13,56.00,56.57,208.14,43.00,43.68,49.00,50.66,47.10,1.85
355.00,359.63,54.00,56.34,207.77,39.00,43.25,48.00,50.41,46.76,1.85
359.00,359.56,57.00,56.39,207.76,41.00,43.03,49.00,50.27,46.58,1.85
357.00,360.73,51.00,56.81,208.56,42.00,43.52,50.00,50.91,47.15,1.85
352.00,359.77,58.00,56.67,208.01,40.00,42.98,52.00,50.76,46.80,1.85
384.00,361.86,67.00,57.14,209.29,51.00,43.46,65.00,52.11,47.72,1.85
358.00,361.54,57.00,57.15,209.13,41.00,43.24,51.00,52.04,47.57,1.85
358.00,361.21,52.00,56.67,208.73,39.00,42.84,51.00,51.94,47.33,1.85
352.00,360.16,57.00,56.64,208.18,40.00,42.33,52.00,51.87,47.03,1.85
355.00,359.56,56.00,56.52,207.83,39.00,41.89,52.00,51.98,46.87,1.84
348.00,357.64,52.00,56.05,206.63,44.00,42.00,54.00,52.17,47.02,1.83
363.00,358.11,60.00,56.41,207.04,50.00,42.75,60.00,52.91,47.76,1.83
377.00,359.87,61.00,56.84,208.14,52.00,43.62,60.00,53.58,48.54,1.83
363.00,361.85,59.00,57.33,209.37,49.00,44.79,58.00,54.57,49.61,1.83
369.00,362.82,56.00,57.10,209.74,51.00,45.76,57.00,55.20,50.41,1.83
360.00,362.60,51.00,56.44,209.30,52.00,46.81,56.00,55.53,51.11,1.82
371.00,363.38,61.00,56.85,209.90,57.00,47.78,57.00,55.67,51.66,1.82
352.00,362.34,56.00,56.77,209.34,51.00,48.11,53.00,55.43,51.70,1.80
359.00,361.46,59.00,56.83,208.93,78.00,51.16,62.00,55.92,53.47,1.78
352.00,359.66,58.00,57.39,208.31,87.00,57.76,65.00,57.56,57.59,1.72
353.00,358.06,58.00,58.30,207.96,78.00,64.51,66.00,60.42,62.40,1.67
375.00,359.62,63.00,58.74,208.96,76.00,65.64,67.00,61.06,63.28,1.67
374.00,360.15,62.00,59.08,209.40,81.00,67.52,70.00,62.09,64.74,1.66
353.00,361.41,56.00,59.40,210.19,89.00,72.03,70.00,64.32,68.11,1.63
350.00,359.19,52.00,57.90,208.33,88.00,74.98,67.00,64.84,69.84,1.59
369.00,360.08,60.00,58.08,208.86,90.00,76.43,71.00,65.42,70.86,1.59
387.00,362.60,64.00,58.63,210.40,94.00,78.12,75.00,66.33,72.16,1.59
355.00,363.80,56.00,58.94,211.16,83.00,79.84,70.00,67.46,73.58,1.57
369.00,365.18,57.00,58.60,211.67,105.00,84.14,86.00,70.89,77.45,1.54
355.00,364.24,50.00,57.31,210.56,115.00,90.80,91.00,75.17,82.92,1.46
358.00,363.64,57.00,57.26,210.23,110.00,92.67,95.00,77.07,84.80,1.44
344.00,361.80,48.00,56.39,208.88,99.00,93.34,83.00,77.69,85.45,1.41
347.00,359.44,51.00,55.40,207.20,112.00,95.98,83.00,78.96,87.40,1.37
355.00,358.24,54.00,54.86,206.33,137.00,101.33,105.00,82.28,91.74,1.31
348.00,356.54,48.00,54.22,205.16,190.00,116.33,120.00,89.04,102.62,1.17
352.00,356.09,52.00,54.00,204.83,177.00,122.20,124.00,92.39,107.23,1.11
348.00,355.32,51.00,53.71,204.30,182.00,127.97,135.00,96.47,112.15,1.06
359.00,357.07,56.00,54.20,205.41,168.00,136.28,135.00,103.80,119.98,0.98
364.00,356.86,54.00,54.08,205.25,171.00,142.54,136.00,109.57,125.98,0.91
361.00,358.91,61.00,55.41,206.94,207.00,152.27,163.00,118.69,135.41,0.82
360.00,359.03,61.00,55.94,207.26,190.00,155.95,158.00,122.49,139.15,0.78
384.00,361.37,71.00,57.36,209.14,191.00,159.35,167.00,126.77,142.99,0.76
384.00,365.06,68.00,59.58,212.09,184.00,164.29,161.00,132.92,148.54,0.72
376.00,367.71,69.00,61.40,214.33,246.00,175.36,183.00,140.59,157.90,0.64
376.00,369.25,67.00,62.10,215.45,263.00,189.51,220.00,152.94,171.16,0.51
372.00,369.54,65.00,62.39,215.74,246.00,195.02,235.00,160.79,177.83,0.43
368.00,369.41,62.00,62.36,215.67,222.00,197.72,227.00,167.19,182.39,0.38
365.00,368.98,64.00,62.58,215.55,231.00,204.32,223.00,178.19,191.19,0.28
364.00,368.59,60.00,62.38,215.26,213.00,206.38,207.00,184.73,195.48,0.22
360.00,367.13,56.00,61.32,214.00,211.00,207.79,206.00,188.79,198.22,0.17
353.00,365.79,56.00,60.81,213.07,190.00,206.16,197.00,189.63,197.83,0.17
355.00,364.75,59.00,60.62,212.46,183.00,203.98,185.00,189.25,196.55,0.17
359.00,363.07,57.00,59.44,211.03,188.00,200.27,178.00,186.82,193.48,0.20
351.00,361.13,55.00,59.06,209.86,179.00,197.60,185.00,187.68,192.57,0.20
355.00,359.98,57.00,58.93,209.23,186.00,195.36,185.00,188.06,191.64,0.20
358.00,359.78,58.00,58.84,209.08,189.00,194.72,184.00,187.67,191.13,0.20
348.00,358.67,57.00,58.67,208.44,163.00,191.74,164.00,185.47,188.53,0.22
354.00,357.45,53.00,57.90,207.45,167.00,188.16,159.00,180.83,184.43,0.26
347.00,355.63,54.00,57.36,206.27,176.00,186.58,152.00,175.82,181.13,0.29
354.00,356.17,60.00,57.73,206.72,177.00,186.11,179.00,176.72,181.34,0.29
354.00,355.96,60.00,57.94,206.72,180.00,185.50,175.00,176.54,180.95,0.29
353.00,355.68,56.00,57.77,206.49,158.00,182.93,163.00,175.28,179.03,0.31
363.00,359.40,63.00,59.74,209.34,176.00,184.64,169.00,176.88,180.69,0.32
379.00,361.41,67.00,60.47,210.71,209.00,186.32,199.00,178.43,182.30,0.32
359.00,362.93,56.00,60.46,211.47,181.00,186.97,167.00,178.50,182.66,0.32
353.00,362.01,58.00,60.23,210.89,175.00,185.85,169.00,177.60,181.65,0.33
348.00,360.71,51.00,59.37,209.80,176.00,184.92,172.00,177.07,180.92,0.32
348.00,358.65,53.00,58.03,208.11,165.00,181.48,166.00,174.88,178.11,0.33
359.00,357.80,55.00,57.11,207.23,172.00,177.56,170.00,172.58,175.00,0.37
353.00,356.66,51.00,56.34,206.27,179.00,176.45,180.00,173.01,174.66,0.36
352.00,356.22,52.00,55.92,205.84,176.00,176.40,180.00,173.67,174.97,0.34
344.00,355.06,50.00,55.36,204.98,211.00,179.61,199.00,176.04,177.75,0.31
343.00,351.91,51.00,53.63,202.54,225.00,186.13,186.00,177.93,181.96,0.23
351.00,350.93,53.00,52.90,201.68,204.00,189.03,187.00,178.56,183.72,0.20
353.00,351.02,56.00,53.70,202.13,215.00,193.42,184.00,179.56,186.42,0.17
391.00,354.74,70.00,55.22,204.75,245.00,198.30,204.00,181.85,190.00,0.16
374.00,356.04,67.00,57.03,206.30,235.00,204.18,201.00,184.23,194.13,0.14
345.00,356.80,57.00,58.02,207.17,191.00,203.77,175.00,183.33,193.48,0.15
